metric,real_mean,sample_mean,absolute_difference
num_nodes,36.859375,36.859375,0.0
num_edges,44.84375,446.375,401.53125
density,0.13898338197777305,0.4762934961657377,0.33731011418796464
avg_degree,2.666668833366964,17.571167758740483,14.904498925373519
max_degree,18.40625,23.21875,4.8125
avg_clustering,0.30502187732924196,0.46945281556606244,0.16443093823682048
num_components,6.9375,1.015625,5.921875
largest_component,29.328125,36.84375,7.515625
